select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
        442 ,                        1 ,        Ústøední knihovna         ,        AUTOSER      ,                  0 ,        30.09.2025
        508 ,                        1 ,        Ústøední knihovna         ,        MELANTRICH   ,                  0 ,        30.09.2025
        606 ,                        1 ,        Ústøední knihovna         ,        èas-bel      ,                  1 ,        30.09.2025
        608 ,                        1 ,        Ústøední knihovna         ,        piktogramy   ,               4926 ,        30.09.2025
        609 ,                        1 ,        Ústøední knihovna         ,        cizí-jazyk   ,               6837 ,        30.09.2025
        610 ,                        1 ,        Ústøední knihovna         ,        poezie       ,               2299 ,        30.09.2025
        611 ,                        1 ,        Ústøední knihovna         ,        nabízíme     ,                  0 ,        30.09.2025
        643 ,                        1 ,        Ústøední knihovna         ,        NOTEBOOK     ,                  0 ,        30.09.2025
        651 ,                        1 ,        Ústøední knihovna         ,        TUR          ,                  0 ,        30.09.2025
        692 ,                        1 ,        Ústøední knihovna         ,        dvojjaz      ,                516 ,        30.09.2025
        722 ,                        1 ,        Internetový pøístup       ,        INET         ,                  0 ,        30.09.2025
        817 ,                        1 ,        Ústøední knihovna         ,        PREDSALI     ,                  5 ,        30.09.2025
        859 ,                        1 ,        Ústøední knihovna         ,        divirt       ,                  0 ,        30.09.2025
        956 ,                        1 ,        Ústøední knihovna         ,        MVS          ,               5070 ,        30.09.2025
        975 ,                        1 ,        Ústøední knihovna         ,        divsklad3p   ,               3056 ,        30.09.2025
        977 ,                        1 ,        Ústøední knihovna         ,        skladmluv    ,                449 ,        30.09.2025
        978 ,                        1 ,        Ústøední knihovna         ,        mluv         ,               1557 ,        30.09.2025
        979 ,                        1 ,        Ústøední knihovna         ,        mluv-dìti    ,                507 ,        30.09.2025
