pobocka_cislo,lokace_short_norm,OCH,kapacita_fyzicka,stav_na_regalu,lokace_id
8,SKO-LITDE,Beletrie - děti,2183.0,2.0,118
8,SKO-LITDE,Naučná - děti,1195.0,3.0,118
8,SKO-MAPY,Naučná - dospělí,250.0,5.0,815
8,SKO-NAUDO,Naučná - dospělí,9184.0,0.0,117
8,SKO-POEML,Beletrie - dospělí,178.0,0.0,120
8,SKO-VÝLOHY,Beletrie - dospělí,57.0,0.0,
10,NONE,Rezervace,324.0,0.0,
10,VYS-BELDE,Beletrie - dospělí,87.0,0.0,446
10,VYS-BELDE,Beletrie - děti,2591.0,0.0,446
10,VYS-BELDO,Beletrie - dospělí,3506.0,0.0,443
10,VYS-CASDE,Časopisy pro děti,18.0,0.0,937
10,VYS-CASDO,Časopisy pro dospělé,35.0,0.0,936
10,VYS-CHFVYP,Chráněný fond,35.0,0.0,448
10,VYS-CHFVYP,Deskové hry,20.0,0.0,448
10,VYS-DOPOR,Beletrie - dospělí,136.0,0.0,803
10,VYS-DOPOR,Beletrie - děti,80.0,0.0,803
10,VYS-DOPOR,Naučná - dospělí,10.0,0.0,803
10,VYS-HRAB,Dnes vrácené knihy,324.0,0.0,452
10,VYS-KOMIKS,Beletrie - dospělí,200.0,0.0,1083
10,VYS-NAUDE,Naučná - dospělí,1841.0,0.0,445
10,VYS-NAUDE,Naučná - děti,37.0,0.0,445
10,VYS-NAUDO,AK,18.0,0.0,444
10,VYS-NAUDO,Naučná - dospělí,3146.0,0.0,444
10,VYS-POEDIV,Beletrie - dospělí,278.0,0.0,447
10,VYS-PRSK,Příruční sklad,3158.0,0.0,450
10,VYS-PRSKDE,Příruční sklad,1074.0,0.0,449
11,MLY-CASDE?,Časopisy pro děti,0.0,0.0,
11,MLY-CASDO?,Časopisy pro dospělé,0.0,0.0,
11,MLY-DOPOR,Doporučujeme (dospělí),206.0,0.0,1213
11,MLY-HRAB,Dnes vrácené knihy,147.0,0.0,1217
11,MLY-KOMDE,Beletrie - děti,50.0,0.0,1215
11,MLY-KOMDO,Beletrie - dospělí,95.0,0.0,1214
11,MLY-LEPOR,Beletrie - děti,100.0,0.0,1216
11,MLY-LITDE,Beletrie - děti,1129.0,0.0,1212
11,MLY-LITDE,Naučná - děti,542.0,0.0,1212
11,MLY-LITDO,Beletrie - dospělí,1813.0,0.0,1211
11,MLY-LITDO,Naučná - dospělí,938.0,0.0,1211
11,NONE,Rezervace,147.0,0.0,
13,HLO-DOPOR,Deskové hry,20.0,0.0,800
13,HLO-DOPOR,Doporučujeme (dospělí),80.0,0.0,800
13,HLO-HRAB,Dnes vrácené knihy,206.0,0.0,541
13,HLO-KOMDE,Beletrie - děti,90.0,0.0,1120
13,HLO-KOMDO,Beletrie - dospělí,120.0,0.0,1119
13,HLO-LITDE,Beletrie - děti,1205.0,0.0,586
13,HLO-LITDE,Naučná - děti,498.0,0.0,586
13,HLO-LITDO,Beletrie - dospělí,1687.0,0.0,1121
13,HLO-LITDO,Naučná - dospělí,1398.0,0.0,1121
13,HLO-PRSK,Příruční sklad,154.0,0.0,589
13,NONE,Rezervace,206.0,0.0,
15,HUS-BELDE,Beletrie - děti,2216.0,16.0,310
15,HUS-BELDO,Beletrie - dospělí,5512.0,0.0,307
15,HUS-CASDE,Časopisy pro děti,32.0,0.0,897
15,HUS-CASDO,Beletrie - dospělí,53.0,0.0,896
15,HUS-DOMDE,Beletrie - děti,50.0,0.0,315
15,HUS-DOPDE,Beletrie - děti,133.0,0.0,316
15,HUS-DOPDE,Deskové hry,5.0,0.0,316
15,HUS-DOPOR,Beletrie - dospělí,25.0,0.0,804
15,HUS-DOPOR,None,42.0,0.0,804
15,HUS-HRAB,Beletrie - děti,18.0,0.0,289
15,HUS-HRAB,Dnes vrácené knihy,489.0,0.0,289
15,HUS-KOMDE,Beletrie - děti,130.0,0.0,1002
15,HUS-KOMDO,Beletrie - dospělí,140.0,0.0,845
15,HUS-NAUC,JK,16.0,0.0,311
15,HUS-NAUC,Naučná - dospělí,5254.0,47.0,311
15,HUS-NAUDE,Naučná - děti,860.0,0.75,1003
15,HUS-POEDIV,Beletrie - dospělí,830.0,0.0,312
15,HUS-SCIFI,Beletrie - dospělí,776.0,0.0,840
15,HUS-VSMS,CD,26.0,0.0,736
15,HUS-VYLOH,None,40.0,0.0,314
15,NONE,None,32.0,0.0,
15,NONE,Rezervace,245.0,0.0,
18,KOR-AK,AK,0.0,0.0,992
18,KOR-BELDO,Beletrie - dospělí,7605.0,34.0,375
18,KOR-CASDE,Časopisy pro děti,27.0,0.0,946
18,KOR-CASDO,Časopisy pro dospělé,116.0,0.0,378
18,KOR-CDDO,CD,421.0,14.0,989
18,KOR-CIZODO,Beletrie - dospělí,927.0,29.5,1035
18,KOR-CIZODO,Naučná - dospělí,179.0,6.0,1035
18,KOR-DETI,Beletrie - děti,5132.0,24.0,380
18,KOR-DETI,Naučná - děti,1761.0,6.0,380
18,KOR-DOPDE,Doporučujeme dětem,448.0,0.0,993
18,KOR-DOPOR,Doporučujeme (dospělí),562.0,12.0,775
18,KOR-HRAB,Dnes vrácené knihy,0.0,0.0,373
18,KOR-JK,JK,73.0,2.5,991
18,KOR-KOMDE,Beletrie - děti,200.0,5.0,994
18,KOR-MAPY,None,60.0,2.0,995
18,KOR-NAUDO,Naučná - dospělí,10696.0,78.5,376
18,KOR-YA,Beletrie - dospělí,361.0,12.0,1209
18,REZERVACE,Rezervace,523.0,18.0,
21,HOS-BELDO,Beletrie - dospělí,4478.0,132.0,493
21,HOS-CASDE,Časopisy pro děti,3.0,0.0,885
21,HOS-CASDO,Časopisy pro dospělé,9.0,0.0,495
21,HOS-DOPDE,Doporučujeme dětem,120.0,4.0,1017
21,HOS-DOPOR,Doporučujeme (dospělí),361.0,12.0,771
21,HOS-HRAB,Dnes vrácené knihy,331.0,11.0,498
21,HOS-KOMDE,Beletrie - děti,115.0,3.0,1085
21,HOS-KOMDO,Beletrie - dospělí,110.0,5.0,1084
21,HOS-LITDE,Beletrie - děti,2484.0,5.0,496
21,HOS-LITDE,Naučná - děti,1104.0,11.75,496
21,HOS-NAUDO,Naučná - dospělí,4142.0,49.5,494
21,HOS-VSMS,CD,30.0,1.0,735
24,JEZ-ATELI,Naučná - dospělí,90.0,0.0,1098
24,JEZ-BELDO,Beletrie - dospělí,2948.0,0.0,1100
24,JEZ-CASDE,None,61.0,0.0,1101
24,JEZ-CASDO,None,152.0,0.0,1102
24,JEZ-DOPOR,None,305.0,0.0,1107
24,JEZ-HRABDE,None,218.0,0.0,1106
24,JEZ-HRABDO,None,305.0,0.0,1105
24,JEZ-HRY,None,198.0,0.0,1103
24,JEZ-KOMDE,Beletrie - děti,130.0,0.0,1108
