lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
1014,BB5-PULT,BB5-PULT,99.0,Krabice2,0,2025-09-30,99,False
1177,LET-SELF,LET-SELF,39.0,Letná,0,2025-09-30,39,False
191,LE1-SKLAD,LE1-SKLAD,39.0,Letná,0,2025-09-30,39,False
162,LUZ-REG,LUZ-REG,81.0,Lužiny,0,2025-09-30,81,False
1196,LUZ-SELF,LUZ-SELF,81.0,Lužiny,0,2025-09-30,81,False
165,LUZ-STU,LUZ-STU,81.0,Lužiny,0,2025-09-30,81,False
163,LUZ-INF,LUZ-INF,81.0,Lužiny,0,2025-09-30,81,False
519,DAB-PRSK,DAB-PRSK,88.0,Ládví,0,2025-09-30,88,False
1200,DAB-SELFDO,DAB-SELFDO,88.0,Ládví,0,2025-09-30,88,False
1210,DAB-SELFDE,DAB-SELFDE,88.0,Ládví,0,2025-09-30,88,False
877,MET-KBELY,MET-KBELY,94.0,MVK Kbely,0,2025-09-30,94,False
1191,MAL-SELF,MAL-SELF,61.0,Malešice,0,2025-09-30,61,False
1170,MOD-SELF,MOD-SELF,27.0,Modřany,0,2025-09-30,27,False
665,MOD-PRSK,MOD-PRSK,27.0,Modřany,0,2025-09-30,27,True
1178,NOV-SELF,NOV-SELF,41.0,Novodvorská,0,2025-09-30,41,False
169,NOV-RETRO,NOV-RETRO,41.0,Novodvorská,0,2025-09-30,41,False
260,NOV-INF,NOV-INF,41.0,Novodvorská,0,2025-09-30,41,False
1189,OPA-SELF,OPA-SELF,58.0,Opatov,0,2025-09-30,58,False
660,OSV-CHF,OSV-CHF,48.0,Ostrovského,0,2025-09-30,48,False
1183,OSV-SELF,OSV-SELF,48.0,Ostrovského,0,2025-09-30,48,False
820,OST-OBVOD,OST-OBVOD,4.0,Ostrčilovo nám.,0,2025-09-30,4,False
1158,OST-SELF,OST-SELF,4.0,Ostrčilovo nám.,0,2025-09-30,4,False
369,OST-DOPDE,OST-DOPDE,4.0,Ostrčilovo nám.,0,2025-09-30,4,False
1180,NVE-SELF,NVE-SELF,43.0,Pankrác,0,2025-09-30,43,False
1244,PET-SELF1N,PET-SELF1N,42.0,Petřiny,0,2025-09-30,42,False
1245,PET-SELF2N,PET-SELF2N,42.0,Petřiny,0,2025-09-30,42,False
1186,PRO-SELFPR,PRO-SELFPR,54.0,Prosek,0,2025-09-30,54,False
1187,PRO-SELF1P,PRO-SELF1P,54.0,Prosek,0,2025-09-30,54,False
1097,PVZ-HRAB,PVZ-HRAB,111.0,Provaznická,0,2025-09-30,111,False
1096,PVZ-HUDKAT,PVZ-HUDKAT,111.0,Provaznická,0,2025-09-30,111,False
472,RAJ-HRAB,RAJ-HRAB,87.0,Rajská zahrada,0,2025-09-30,87,False
1199,RAJ-SELF,RAJ-SELF,87.0,Rajská zahrada,0,2025-09-30,87,False
401,REG-KANC,REG-KANC,96.0,Region,0,2025-09-30,96,False
419,HOL-ZASOBA,HOL-ZASOBA,5.0,Sedmička,0,2025-09-30,5,False
1159,HOL-SELF,HOL-SELF,5.0,Sedmička,0,2025-09-30,5,False
542,SKA-CHF,SKA-CHF,70.0,Skalka,0,2025-09-30,70,False
1195,SKA-SELF,SKA-SELF,70.0,Skalka,0,2025-09-30,70,False
1171,SMI-SELF,SMI-SELF,29.0,Smíchov,0,2025-09-30,29,False
572,SPO-PRSK,SPO-PRSK,45.0,Spořilov,0,2025-09-30,45,False
