lokace_id,oznaceni,typ
325,W - VOJENSTVÍ.,Naučná - dospělí
325,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
545,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
545,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
545,O - PRÁVO. PRÁVNÍ VĚDA.,Naučná - dospělí
545,S - UMĚNÍ.,Naučná - dospělí
545,V - HUDBA.,Naučná - dospělí
545,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
117,C - DOMÁCNOST.,Naučná - dospělí
117,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
117,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
117,G - SPOLEČENSKÉ VĚDY.,Naučná - dospělí
117,K - PŘÍRODNÍ VĚDY.,Naučná - dospělí
117,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - dospělí
117,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - dospělí
117,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - dospělí
117,R - JAZYKOVĚDA.,Naučná - dospělí
117,S - UMĚNÍ.,Naučná - dospělí
117,T - TECHNIKA.,Naučná - dospělí
117,V - HUDBA.,Naučná - dospělí
117,W - VOJENSTVÍ.,Naučná - dospělí
117,X - LITERATURA.,Naučná - dospělí
117,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - dospělí
117,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - dospělí
591,C - DOMÁCNOST.,Naučná - dospělí
591,D - DĚJINY. DĚJEPIS.,Naučná - dospělí
591,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - dospělí
