lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,OCH,kapacita_fyzicka,kapacita_realokace,kapacita_effective,stav_fondu_och
137,LUZ-NAUDO,Lužiny,81,Jihozápad,True,Naučná - dospělí,12349.0,,,0.0
1059,RAJ-KOMDE,Rajská zahrada,87,Severovýchod,True,Beletrie - děti,90.0,,,0.0
473,RAJ-LITDO,Rajská zahrada,87,Severovýchod,True,Naučná - dospělí,2281.0,,,3.5
255,JIR-HRAB,Chodov,89,Jih,False,Dnes vrácené knihy,289.0,,289.0,0.0
867,JEN-ZASOB,Vzdálený sklad 6,92,Sklad,True,Beletrie - dospělí,79223.0,,79223.0,0.0
1134,děti-kom,Ústřední knihovna,1,Ústřední knihovna,True,Beletrie - děti,0.0,,,0.0
1030,hud-gal,Ústřední knihovna,1,Ústřední knihovna,False,Naučná - dospělí,2498.0,,2498.0,0.0
602,KOB-CHFDO,Kobylisy,7,Severovýchod,False,CD,10.0,,10.0,0.0
801,KOB-DOPOR,Kobylisy,7,Severovýchod,False,AK,15.0,,15.0,0.0
801,KOB-DOPOR,Kobylisy,7,Severovýchod,False,Doporučujeme (dospělí),28.0,,28.0,0.0
801,KOB-DOPOR,Kobylisy,7,Severovýchod,False,JK,15.0,,15.0,0.0
802,KOB-DOPORD,Kobylisy,7,Severovýchod,False,Deskové hry,15.0,,15.0,0.0
894,SKO-CASDE,Školská,8,Středozápad,False,Časopisy pro děti,21.0,,21.0,0.0
814,SKO-DOPO3,Školská,8,Středozápad,False,Deskové hry,25.0,,25.0,0.0
117,SKO-NAUDO,Školská,8,Středozápad,True,Naučná - dospělí,9184.0,,,0.0
937,VYS-CASDE,Vysočany,10,Severovýchod,False,Časopisy pro děti,18.0,,18.0,0.0
448,VYS-CHFVYP,Vysočany,10,Severovýchod,False,Chráněný fond,35.0,,35.0,0.0
992,KOR-AK,Korunní,18,Jihovýchod,False,AK,0.0,,0.0,0.0
1106,JEZ-HRABDE,Jezerka,24,Jih,False,None,218.0,,218.0,0.0
1109,JEZ-KOMDO,Jezerka,24,Jih,True,Beletrie - dospělí,200.0,,,0.0
1112,JEZ-NAUDO,Jezerka,24,Jih,True,Naučná - dospělí,2931.0,,,0.0
1113,JEZ-PRSK,Jezerka,24,Jih,True,Beletrie - dospělí,1366.0,,,0.0
902,VIK-CASDO,Vikova,25,Jih,False,Časopisy pro dospělé,100.0,,100.0,0.0
566,VIK-NAUDO,Vikova,25,Jih,True,Naučná - dospělí,4305.0,,,0.0
661,MOD-CHF,Modřany,27,Jih,False,Deskové hry,120.0,,120.0,0.0
1149,SMI-JK,Smíchov,29,Jihozápad,False,JK,365.0,,365.0,0.0
828,CI3-VSMS,Cibulka,30,Jihozápad,False,CD,26.0,,26.0,0.0
594,CHU-CAS,Velká Chuchle,31,Jihozápad,False,Časopisy pro děti,15.0,,15.0,0.0
738,CHU-VSMS,Velká Chuchle,31,Jihozápad,False,CD,0.0,,0.0,0.0
148,BRE-LITDE,Břevnov,35,Středozápad,True,Beletrie - děti,4399.0,,,0.0
148,BRE-LITDE,Břevnov,35,Středozápad,True,Naučná - děti,1217.0,,,0.0
146,BRE-NAUDO,Břevnov,35,Středozápad,True,Naučná - dospělí,10202.0,,,254.0
930,DEJ-AUDIO,Dejvice,38,Středozápad,False,CD,140.0,,140.0,0.0
241,NOV-DETCAS,Novodvorská,41,Jih,False,None,36.0,,36.0,0.0
1240,PET-LITML2,Petřiny,42,Středozápad,True,Beletrie - děti,529.0,,,0.0
1240,PET-LITML2,Petřiny,42,Středozápad,True,Naučná - děti,358.0,,,0.0
703,ZME-CASDO,Zahradní Město,47,Jihovýchod,False,Časopisy pro dospělé,74.0,,74.0,5.0
705,ZME-HRAB,Zahradní Město,47,Jihovýchod,False,Dnes vrácené knihy,152.0,,152.0,5.0
655,OSV-NAUDO,Ostrovského,48,Jihozápad,True,Naučná - dospělí,2102.0,,,0.0
1020,DIT-DOMDE,Dittrichova,51,Středozápad,True,Beletrie - děti,190.0,,,0.0
1020,DIT-DOMDE,Dittrichova,51,Středozápad,True,Naučná - děti,50.0,,,0.0
1251,BOH-VYSTAV,Bohnice,52,Severovýchod,False,Naučná - dospělí,38.0,,38.0,0.0
328,PRO-NAUDE,Prosek,54,Severovýchod,True,Naučná - děti,2069.0,,,0.0
524,KRC-CASDO,Krč,60,Jih,False,Časopisy pro dospělé,101.0,,101.0,0.0
1041,MAL-CASDE,Malešice,61,Jihovýchod,False,Časopisy pro děti,0.0,,0.0,0.0
675,BAR-PRSK,Barrandov,62,Jihozápad,False,Opravuje se na pobočce,361.0,,361.0,0.0
1145,BAR-VSMS,Barrandov,62,Jihozápad,False,CD,301.0,,301.0,0.0
794,ZAH-DOPOR,Záhřebská,65,Středozápad,False,Doporučujeme (dospělí),182.0,,182.0,0.0
795,ZAH-DOPORD,Záhřebská,65,Středozápad,False,Naučná - děti,26.0,,26.0,0.0
748,ZAH-VSMS,Záhřebská,65,Středozápad,False,CD,50.0,,50.0,0.0
544,SKA-BELDO,Skalka,70,Jihovýchod,True,Beletrie - dospělí,3959.0,,,91.5
758,STO-DOPOR,Stodůlky,84,Jihozápad,False,Doporučujeme (dospělí),176.0,,176.0,0.0
620,STO-PRSK,Stodůlky,84,Jihozápad,False,Příruční sklad,914.0,,914.0,0.0
473,RAJ-LITDO,Rajská zahrada,87,Severovýchod,True,Beletrie - dospělí,3137.0,,,89.0
1065,JIR-LEPOR,Chodov,89,Jih,True,Beletrie - děti,190.0,,,0.0
