lokace_id,lokace_short,pobocka_nazev,pobocka_cislo,oblast,je_realokace,stav_fondu_celkem,kapacita_celkem,kapacita_fyzicka_sum,kapacita_realokace_sum,volna_kapacita,naplnenost_pct,rozdil,pretizena,rizikova
826,BRE-CD,Břevnov,35,Středozápad,False,429,463.0,463.0,,34.0,92.65658747300216,-34.0,False,True
369,OST-DOPDE,Ostrčilovo nám.,4,Středozápad,False,0,36.0,36.0,,36.0,0.0,-36.0,False,False
827,BRE-HRAB2,Břevnov,35,Středozápad,False,1,,,,,,,,
358,ZAH-DEPULT,Záhřebská,65,Středozápad,False,0,,,,,,,,
636,CI3-POK,Cibulka,30,Jihozápad,False,38,,,,,,,,
977,skladmluv,Ústřední knihovna,1,Ústřední knihovna,False,449,,,,,,,,
205,LET-POK,Letná,39,Severovýchod,False,16,,,,,,,,
506,XNVE-POK,(formální) Pankrác,43,Jih,False,0,,,,,,,,
1163,HLO-SELF,Hloubětín,13,Severovýchod,False,1,,,,,,,,
1034,REKATHUD,,,,False,310,,,,,,,,
200,LE3-BELDE,(zrušeno) Letná-děti,39,Severovýchod,False,0,,,,,,,,
337,VYRAZENI,,,,False,7,,,,,,,,
1001,DILNA-PULT,Ústřední knihovna,1,Ústřední knihovna,False,0,,,,,,,,
1032,AKVI,Ústřední knihovna,1,Ústřední knihovna,False,0,,,,,,,,
720,BRE-VITRIN,Břevnov,35,Středozápad,False,21,,,,,,,,
1264,CER-POK,(zavřeno) Černý Most,32,,False,0,,,,,,,,
1189,OPA-SELF,Opatov,58,Jih,False,0,,,,,,,,
881,DOVZDAL,,,,False,196,,,,,,,,
290,HUS-CHFOND,Žižkov,15,Středozápad,False,0,,,,,,,,
585,HLO-CHF,Hloubětín,13,Severovýchod,False,1,,,,,,,,
548,SKA-POK,Skalka,70,Jihovýchod,False,34,,,,,,,,
197,LE3-VYLOHY,(zrušeno) Letná-děti,39,Severovýchod,False,0,,,,,,,,
113,METO7,Ústřední knihovna,1,Ústřední knihovna,False,0,,,,,,,,
456,SAMOPRA,,,,False,12905,,,,,,,,
810,SKO-MOF,Školská,8,Středozápad,False,0,,,,,,,,
927,DEJ-CASDO1,Dejvice,38,Středozápad,False,282,,,,,,,,
1205,KOR-SELFDE,Korunní,18,Jihovýchod,False,0,,,,,,,,
362,SKO-STU,Školská,8,Středozápad,False,0,,,,,,,,
420,HOL-POVIN,Sedmička,5,Severovýchod,False,1,,,,,,,,
1067,JEN-DEPJST,Vzdálený sklad 8,92,Sklad,True,32,547140.0,547140.0,0.0,547108.0,0.005848594509631904,-547108.0,False,False
1019,JEN-MOFNAU,Vzdálený sklad 7,92,Sklad,True,59,0.0,,0.0,-59.0,,59.0,,
865,JEN-RFUK,Vzdálený sklad 4,92,Sklad,True,408,0.0,,0.0,-408.0,,408.0,,
670,HRA-DE,Hradčany,3,Středozápad,True,1108,1394.0,1262.0,1394.0,286.0,79.48350071736012,-286.0,False,False
446,VYS-BELDE,Vysočany,10,Severovýchod,True,2029,2060.0,2678.0,2060.0,31.0,98.49514563106796,-31.0,False,True
443,VYS-BELDO,Vysočany,10,Severovýchod,True,3139,2670.0,3506.0,2670.0,-469.0,117.56554307116104,469.0,True,True
1003,HUS-NAUDE,Žižkov,15,Středozápad,True,563,645.0,860.0,645.0,82.0,87.28682170542635,-82.0,False,False
994,KOR-KOMDE,Korunní,18,Jihovýchod,True,163,200.0,200.0,200.0,37.0,81.5,-37.0,False,False
567,VIK-BELDO,Vikova,25,Jih,True,3427,3220.0,4189.0,3220.0,-207.0,106.42857142857143,207.0,True,True
593,CHU-BELDO,Velká Chuchle,31,Jihozápad,True,1348,1040.0,1475.0,1040.0,-308.0,129.6153846153846,308.0,True,True
591,CHU-NAU,Velká Chuchle,31,Jihozápad,True,834,605.0,853.0,605.0,-229.0,137.8512396694215,229.0,True,True
1127,LET-LITDE,Letná,39,Severovýchod,True,2127,1845.0,2714.0,1845.0,-282.0,115.28455284552845,282.0,True,True
499,NVE-LITML,Pankrác,43,Jih,True,4289,2855.0,5227.0,2855.0,-1434.0,150.2276707530648,1434.0,True,True
752,RUS-BELDO,Dům čtení,56,Jihovýchod,True,11384,9015.0,12721.0,9015.0,-2369.0,126.27842484747643,2369.0,True,True
