pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
7,KOB-LITDE,E,46.0,600
7,KOB-LITDE,K,265.0,600
7,KOB-LITDE,L,42.0,600
7,KOB-LITDE,N,65.0,600
7,KOB-LITDE,P,42.0,600
7,KOB-LITDE,R,47.0,600
7,KOB-LITDE,S,40.0,600
7,KOB-LITDE,T,50.0,600
7,KOB-LITDE,U,32.0,600
7,KOB-LITDE,V,45.0,600
7,KOB-LITDE,Y,60.0,600
7,KOB-LITDE,Z,35.0,600
7,KOB-LITDE,,765.0,600
7,KOB-PRSK,A1,300.0,604
7,KOB-PRSK,A2,10.0,604
7,KOB-PRSK,A3,10.0,604
7,KOB-PRSK,A4,10.0,604
7,KOB-PRSK,B1,5.0,604
7,KOB-PRSK,B2,30.0,604
7,KOB-PRSK,C,70.0,604
7,KOB-PRSK,D,40.0,604
7,KOB-PRSK,E,20.0,604
7,KOB-PRSK,G,40.0,604
7,KOB-PRSK,K,30.0,604
7,KOB-PRSK,L,40.0,604
7,KOB-PRSK,N,25.0,604
7,KOB-PRSK,O,10.0,604
7,KOB-PRSK,P,40.0,604
7,KOB-PRSK,R,50.0,604
7,KOB-PRSK,S,40.0,604
7,KOB-PRSK,T,15.0,604
7,KOB-PRSK,U,20.0,604
7,KOB-PRSK,V,15.0,604
7,KOB-PRSK,W,15.0,604
7,KOB-PRSK,X,30.0,604
7,KOB-PRSK,Y,10.0,604
7,KOB-PRSK,Z,15.0,604
7,KOB-PRSK,,10.0,604
8,SKO-BELDO,A1,2335.0,116
8,SKO-BELDO,J1,10.0,116
8,SKO-BELDO,J2,10.0,116
8,SKO-BELDO,J3,20.0,116
8,SKO-BELDO,J4,85.0,116
8,SKO-BELDO,,20.0,116
8,SKO-DIVML,B1,50.0,121
8,SKO-KOMDO,,200.0,958
8,SKO-KOMIKS,,180.0,895
8,SKO-LITDE,A1,50.0,118
8,SKO-LITDE,A2,150.0,118
8,SKO-LITDE,A3,460.0,118
8,SKO-LITDE,A4,285.0,118
8,SKO-LITDE,B2,5.0,118
8,SKO-LITDE,C,85.0,118
8,SKO-LITDE,D,65.0,118
