lokace_id,datum,OCH,stav_fondu
827,2025-09-30,,1.0
720,2025-09-30,,21.0
149,2025-09-30,,7.0
1220,2025-09-30,,265.0
157,2025-09-30,,346.0
826,2025-09-30,,429.0
151,2025-09-30,,6.0
249,2025-09-30,,3754.0
1065,2025-09-30,,290.0
254,2025-09-30,,360.0
1007,2025-09-30,,851.0
774,2025-09-30,,388.0
251,2025-09-30,,4662.0
255,2025-09-30,,166.0
253,2025-09-30,,4.0
247,2025-09-30,,5204.0
250,2025-09-30,,82.0
1006,2025-09-30,,206.0
1249,2025-09-30,,236.0
1252,2025-09-30,,95.0
256,2025-09-30,,20.0
828,2025-09-30,,59.0
637,2025-09-30,,9.0
638,2025-09-30,,1085.0
915,2025-09-30,,27.0
636,2025-09-30,,38.0
768,2025-09-30,,6.0
1154,2025-09-30,,73.0
912,2025-09-30,,1031.0
718,2025-09-30,,165.0
717,2025-09-30,,1.0
928,2025-09-30,,404.0
714,2025-09-30,,5290.0
930,2025-09-30,,321.0
1036,2025-09-30,,403.0
751,2025-09-30,,275.0
929,2025-09-30,,30.0
1151,2025-09-30,,472.0
926,2025-09-30,,378.0
716,2025-09-30,,27.0
719,2025-09-30,,3.0
576,2025-09-30,,50.0
713,2025-09-30,,1296.0
927,2025-09-30,,282.0
711,2025-09-30,,10448.0
712,2025-09-30,,6335.0
750,2025-09-30,,509.0
715,2025-09-30,,5395.0
207,2025-09-30,,3302.0
1020,2025-09-30,,244.0
209,2025-09-30,,6.0
213,2025-09-30,,3443.0
208,2025-09-30,,268.0
733,2025-09-30,,108.0
215,2025-09-30,,23.0
211,2025-09-30,,195.0
212,2025-09-30,,2640.0
960,2025-09-30,,308.0
806,2025-09-30,,41.0
818,2025-09-30,,295.0
216,2025-09-30,,30.0
1068,2025-09-30,,106.0
217,2025-09-30,,175.0
1153,2025-09-30,,155.0
1078,2025-09-30,,164.0
851,2025-09-30,,54.0
822,2025-09-30,,2509.0
852,2025-09-30,,285.0
581,2025-09-30,,17.0
823,2025-09-30,,4898.0
732,2025-09-30,,38.0
821,2025-09-30,,5.0
754,2025-09-30,,4486.0
755,2025-09-30,,223.0
764,2025-09-30,,2.0
752,2025-09-30,,11384.0
756,2025-09-30,,144.0
811,2025-09-30,,8.0
757,2025-09-30,,83.0
948,2025-09-30,,1985.0
949,2025-09-30,,437.0
950,2025-09-30,,949.0
563,2025-09-30,,99.0
753,2025-09-30,,8860.0
1128,2025-09-30,,1.0
586,2025-09-30,,1355.0
589,2025-09-30,,84.0
1119,2025-09-30,,110.0
800,2025-09-30,,178.0
1121,2025-09-30,,3136.0
1120,2025-09-30,,80.0
541,2025-09-30,,11.0
734,2025-09-30,,48.0
585,2025-09-30,,1.0
540,2025-09-30,,13.0
1163,2025-09-30,,1.0
959,2025-09-30,,1.0
498,2025-09-30,,23.0
1084,2025-09-30,,192.0
735,2025-09-30,,43.0
1085,2025-09-30,,121.0
771,2025-09-30,,190.0
495,2025-09-30,,111.0
490,2025-09-30,,31.0
493,2025-09-30,,3846.0
1017,2025-09-30,,68.0
496,2025-09-30,,2548.0
494,2025-09-30,,3189.0
885,2025-09-30,,13.0
669,2025-09-30,,614.0
671,2025-09-30,,176.0
673,2025-09-30,,1092.0
672,2025-09-30,,1245.0
772,2025-09-30,,163.0
652,2025-09-30,,58.0
670,2025-09-30,,1108.0
890,2025-09-30,,123.0
674,2025-09-30,,151.0
889,2025-09-30,,392.0
1109,2025-09-30,,263.0
549,2025-09-30,,62.0
1103,2025-09-30,,33.0
1294,2025-09-30,,131.0
1111,2025-09-30,,63.0
1098,2025-09-30,,137.0
1114,2025-09-30,,1042.0
1105,2025-09-30,,23.0
1108,2025-09-30,,78.0
1107,2025-09-30,,241.0
1101,2025-09-30,,102.0
1168,2025-09-30,,310.0
1115,2025-09-30,,149.0
1116,2025-09-30,,200.0
1112,2025-09-30,,3037.0
1110,2025-09-30,,209.0
1099,2025-09-30,,2128.0
1113,2025-09-30,,1740.0
1102,2025-09-30,,394.0
1100,2025-09-30,,3107.0
1106,2025-09-30,,1.0
1271,2025-09-30,,4.0
1272,2025-09-30,,552.0
1143,2025-09-30,,100.0
1142,2025-09-30,,18.0
1268,2025-09-30,,1.0
1269,2025-09-30,,610.0
801,2025-09-30,,228.0
763,2025-09-30,,14.0
605,2025-09-30,,30.0
802,2025-09-30,,13.0
603,2025-09-30,,5911.0
561,2025-09-30,,70.0
604,2025-09-30,,768.0
602,2025-09-30,,25.0
934,2025-09-30,,11.0
933,2025-09-30,,44.0
600,2025-09-30,,3560.0
601,2025-09-30,,1.0
562,2025-09-30,,86.0
1141,2025-09-30,,431.0
376,2025-09-30,,8173.0
993,2025-09-30,,75.0
991,2025-09-30,,86.0
946,2025-09-30,,41.0
1293,2025-09-30,,131.0
1008,2025-09-30,,1533.0
380,2025-09-30,,4184.0
378,2025-09-30,,244.0
374,2025-09-30,,56.0
1035,2025-09-30,,830.0
1209,2025-09-30,,310.0
994,2025-09-30,,163.0
775,2025-09-30,,403.0
995,2025-09-30,,301.0
992,2025-09-30,,133.0
373,2025-09-30,,43.0
989,2025-09-30,,869.0
375,2025-09-30,,6519.0
381,2025-09-30,,1.0
998,2025-09-30,,8.0
997,2025-09-30,,14.0
996,2025-09-30,,2.0
1286,2025-09-30,,40.0
529,2025-09-30,,988.0
1277,2025-09-30,,2918.0
526,2025-09-30,,81.0
525,2025-09-30,,4314.0
524,2025-09-30,,228.0
1287,2025-09-30,,139.0
1280,2025-09-30,,4340.0
1281,2025-09-30,,294.0
